   #Date       Time       lat.     long.   depth  Mn   residue
2018-06-27 00:04:25.672 34.62143 46.27129 7.999 3.50 0.487
2018-06-27 19:29:20.200 34.48732 45.79807 3.199 3.30 0.277
2018-06-30 06:08:06.977 34.59714 46.17177 5.998 3.70 0.021
2018-07-01 18:04:40.117 34.59018 46.26476 7.759 3.30 0.068
2018-07-03 21:46:34.567 34.41306 45.64265 6.444 3.60 0.000
2018-07-05 08:38:45.792 34.42032 45.63573 6.161 3.40 0.631
2018-07-05 14:50:06.823 34.42654 45.63498 5.365 3.20 0.201
2018-07-05 17:16:54.386 34.42992 45.64625 8.214 3.60 0.988
2018-07-07 21:39:37.750 34.79496 45.25663 8.940 3.60 0.335
2018-07-08 10:51:32.279 34.60684 46.26432 5.638 3.30 0.153
2018-07-08 16:46:36.031 34.49759 45.91095 2.002 3.20 0.272
2018-07-12 10:32:11.725 34.60345 46.26205 8.000 3.30 0.259
2018-07-12 13:17:21.582 34.57108 45.91359 2.002 3.10 0.383
2018-07-14 17:50:16.703 34.56610 45.79962 3.410 3.30 0.570
2018-07-15 07:11:00.963 34.61419 46.25718 8.003 4.60 0.273
2018-07-15 13:40:18.224 34.92221 45.84491 11.405 3.60 0.660
2018-07-16 05:33:54.441 34.62910 46.27797 7.790 4.20 0.328
2018-07-16 05:53:19.229 34.61739 46.25863 6.447 3.50 0.169
2018-07-17 09:35:59.783 34.59630 46.26829 4.737 3.30 0.213
2018-07-17 16:41:46.708 34.65107 46.19507 2.002 3.10 0.207
2018-07-18 01:30:32.785 34.62408 46.25954 5.119 3.10 0.418
2018-07-19 09:21:20.217 34.63972 46.25241 5.999 3.30 0.342
2018-07-19 16:05:11.612 34.63013 46.24632 4.339 3.10 0.254
2018-07-22 10:07:26.178 34.62290 46.26254 15.00 5.70 0.268
2018-07-22 10:13:43.643 34.63316 46.25839 5.998 3.20 0.291
